user id,product id,trial,refunded,purchase date,country code,media source,transaction_number
3935,tenwords_lifetime_limited_49.99,f,f,2020-09-22,Organic/Unknown,Organic/Unknown,1
12070,tenwords_1w_7.99_7free,t,f,2020-07-11,HR,Facebook Ads,1
12254,tenwords_1w_7.99_7free,t,f,2020-09-06,US,Facebook Ads,1
27637,tenwords_1w_9.99_offer,f,f,2020-07-05,PL,Facebook Ads,1
31549,tenwords_1w_9.99_offer,f,f,2020-08-25,CO,Facebook Ads,1
31921,tenwords_1w_9.99_offer,f,f,2020-08-25,FR,Facebook Ads,1
34244,tenwords_1w_9.99_offer,f,f,2020-09-07,NL,Facebook Ads,1
34372,tenwords_1w_7.99_7free,t,f,2020-07-02,AE,Facebook Ads,1
34491,tenwords_1w_9.99_offer,f,f,2020-07-15,Organic/Unknown,Organic/Unknown,1
34491,tenwords_1w_9.99_offer,f,f,2020-07-22,Organic/Unknown,Organic/Unknown,2
34491,tenwords_1w_9.99_offer,f,f,2020-08-22,Organic/Unknown,Organic/Unknown,3
35450,tenwords_1w_9.99_offer,f,f,2020-08-20,KR,Facebook Ads,1
35673,tenwords_lifetime_limited_49.99,f,f,2020-07-26,CH,Facebook Ads,1
36096,tenwords_1w_9.99_offer,f,f,2020-08-29,SA,Facebook Ads,1
38454,tenwords_1w_9.99_offer,f,f,2020-07-12,AT,Facebook Ads,1
39904,tenwords_1w_9.99_offer,f,f,2020-07-21,Organic/Unknown,Organic/Unknown,1
39904,tenwords_1w_9.99_offer,f,f,2020-07-28,Organic/Unknown,Organic/Unknown,2
39904,tenwords_1w_9.99_offer,f,f,2020-08-04,Organic/Unknown,Organic/Unknown,3
39904,tenwords_1w_9.99_offer,f,f,2020-08-11,Organic/Unknown,Organic/Unknown,4
40424,tenwords_1w_9.99_offer,f,f,2020-08-26,RU,Facebook Ads,1
40741,tenwords_1w_9.99_offer,f,f,2020-08-01,Organic/Unknown,Organic/Unknown,1
40741,tenwords_1w_9.99_offer,f,f,2020-08-31,Organic/Unknown,Organic/Unknown,2
40741,tenwords_1w_9.99_offer,f,f,2020-09-07,Organic/Unknown,Organic/Unknown,3
40741,tenwords_1w_9.99_offer,f,f,2020-09-14,Organic/Unknown,Organic/Unknown,4
40871,tenwords_1w_9.99_offer,f,f,2020-07-29,IE,Facebook Ads,1
41763,tenwords_1w_9.99_offer,f,f,2020-07-27,Organic/Unknown,Organic/Unknown,1
42142,tenwords_1w_9.99_offer,f,f,2020-09-06,US,ByteDance,1
42726,tenwords_1w_9.99_offer,f,f,2020-09-15,Organic/Unknown,Organic/Unknown,1
43721,tenwords_1w_9.99_offer,f,f,2020-07-21,US,Facebook Ads,1
43721,tenwords_1w_9.99_offer,f,f,2020-07-28,US,Facebook Ads,2
43721,tenwords_1w_9.99_offer,f,f,2020-08-04,US,Facebook Ads,3
43721,tenwords_1w_9.99_offer,f,f,2020-08-11,US,Facebook Ads,4
43721,tenwords_1w_9.99_offer,f,f,2020-08-18,US,Facebook Ads,5
43721,tenwords_1w_9.99_offer,f,f,2020-08-25,US,Facebook Ads,6
43721,tenwords_1w_9.99_offer,f,f,2020-09-01,US,Facebook Ads,7
43721,tenwords_1w_9.99_offer,f,f,2020-09-08,US,Facebook Ads,8
43721,tenwords_1w_9.99_offer,f,f,2020-09-15,US,Facebook Ads,9
43721,tenwords_1w_9.99_offer,f,f,2020-09-22,US,Facebook Ads,10
43721,tenwords_1w_9.99_offer,f,f,2020-09-29,US,Facebook Ads,11
44400,tenwords_1w_9.99_offer,f,f,2020-09-02,ES,Facebook Ads,1
44945,tenwords_1w_7.99_7free,t,f,2020-07-15,NZ,Facebook Ads,1
44976,tenwords_1w_9.99_offer,f,f,2020-07-15,Organic/Unknown,Organic/Unknown,1
45292,tenwords_1w_9.99_offer,f,f,2020-07-28,AE,Facebook Ads,1
45902,tenwords_1w_7.99_7free,t,f,2020-07-31,Organic/Unknown,Organic/Unknown,1
46126,tenwords_1w_9.99_offer,f,f,2020-09-12,Organic/Unknown,Organic/Unknown,1
46126,tenwords_1w_9.99_offer,f,f,2020-09-19,Organic/Unknown,Organic/Unknown,2
46126,tenwords_1w_9.99_offer,f,f,2020-09-26,Organic/Unknown,Organic/Unknown,3
46820,tenwords_1w_9.99_offer,f,f,2020-09-13,GT,Facebook Ads,1
46820,tenwords_1w_9.99_offer,f,f,2020-09-20,GT,Facebook Ads,2
46820,tenwords_1w_9.99_offer,f,f,2020-09-27,GT,Facebook Ads,3
47390,tenwords_1w_7.99_7free,t,f,2020-08-14,IT,Facebook Ads,1
47473,tenwords_1w_7.99_7free,t,f,2020-07-02,BA,Facebook Ads,1
47705,tenwords_1w_9.99_offer,f,f,2020-09-26,US,Google Ads,1
47786,tenwords_1w_9.99_offer,f,f,2020-09-08,NG,Facebook Ads,1
48542,tenwords_lifetime_limited_49.99,f,f,2020-07-26,CH,Facebook Ads,1
49036,tenwords_1w_9.99_offer,f,f,2020-08-06,BR,Facebook Ads,1
50631,tenwords_1w_9.99_offer,f,f,2020-07-19,Organic/Unknown,Organic/Unknown,1
50761,tenwords_1w_9.99_offer,f,f,2020-07-10,NA,Facebook Ads,1
50761,tenwords_1w_9.99_offer,f,f,2020-07-17,NA,Facebook Ads,2
50761,tenwords_1w_9.99_offer,f,f,2020-07-24,NA,Facebook Ads,3
52119,tenwords_1w_9.99_offer,f,f,2020-09-06,PL,Facebook Ads,1
52278,tenwords_1w_9.99_offer,f,f,2020-07-21,CA,Facebook Ads,1
52535,tenwords_1w_9.99_offer,f,f,2020-07-17,CO,Facebook Ads,1
52535,tenwords_1w_9.99_offer,f,f,2020-07-24,CO,Facebook Ads,2
52535,tenwords_1w_9.99_offer,f,f,2020-07-31,CO,Facebook Ads,3
